日付,コード,エラー種別
2026-07-13,6345,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6347,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6349,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6351,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6356,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6357,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6358,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6360,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6363,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6364,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6365,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6366,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6369,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6370,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6371,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6373,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6380,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6384,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6387,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6395,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6403,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6406,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6407,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6412,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6416,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6417,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6419,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6432,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6440,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6444,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6445,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6460,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6466,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6480,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6482,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6486,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6488,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6489,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6493,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6497,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6503,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6505,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6507,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6508,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6513,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6516,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6517,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6518,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6524,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6525,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6526,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6533,取得失敗(理由不明・一括ダウンロードから欠落)
2026-07-13,6535,取得失敗(理由不明・一括ダウンロードから欠落)
